var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_disposal,Q5year,0.348,0.121,Yes,0,5467
survey_irrigation_inground_timer,StandardizedAnnualresidualbyfamily,0.348,0.121,Yes,0,5075
Q4no,Q4year,-0.348,0.121,Yes,0,5573
survey_number_of_showers,survey_irrigation_inground_timer,0.346,0.12,Yes,0,5574
survey_dishwasher,survey_indoor_sqft,0.347,0.12,Yes,0,4893
survey_canal_ditch,survey_irrigation,-0.346,0.12,Yes,0,305
survey_irrigation_inground_timer,NormalizedSeasonal,0.346,0.12,Yes,0,1063
Q5no,survey_monthly_rent,-0.347,0.12,Yes,0,546
survey_number_of_adults,Showerminutesperday,0.347,0.12,Yes,0,1178
Faucetgpd,Showergpd,0.346,0.12,Yes,0,1178
survey_irrigation_inground,survey_indoor_sqft,0.345,0.119,Yes,0,4984
capita,Faucetgpd,0.344,0.119,Yes,0,1187
survey_irrigation_inground_back,survey_number_of_toilets,0.343,0.118,Yes,0,5566
survey_number_of_adults_winter,Showergpd,0.343,0.118,Yes,0,1178
survey_number_of_adults_summer,Showerminutesperday,0.344,0.118,Yes,0,1178
survey_number_of_bathtub_only,survey_home_value,0.344,0.118,Yes,0,3124
survey_number_of_showers,survey_dishwasher,0.343,0.118,Yes,0,5438
survey_disposal,survey_irrigation_inground_timer,0.344,0.118,Yes,0,5467
survey_irrigation_inground_timer,StandardizedSeasonalresidualbyfamily,0.343,0.118,Yes,0,1063
TotalGPD,NormalizedNonseasonal,0.344,0.118,Yes,0,1187
Survey_Irrigation_InGround_Back_Automatic,NormalizedSeasonal,0.342,0.117,Yes,0,1063
Survey_Irrigation_InGround_Back_Automatic,StandardizedAnnualresidualbyfamily,0.342,0.117,Yes,0,5075
Toiletgpd,pct_flushes_gt_2_2,0.341,0.117,Yes,0,1187
Toiletgpd,pct_flushes_lt_2_2,-0.341,0.117,Yes,0,1187
Q23length,OutdoorGPD,0.34,0.116,Yes,0,1146
survey_number_of_teenagers,Showergpd,0.341,0.116,Yes,0,1178
IndoorGPD,Dishwashergpd,0.34,0.116,Yes,0,906
survey_irrigation_inground_back,survey_home_value,0.339,0.115,Yes,0,4735
survey_number_of_bathroom_sinks,survey_parcel_sqft,0.339,0.115,Yes,0,4378
survey_number_of_bathroom_sinks,OutdoorGPD,0.339,0.115,Yes,0,1135
Survey_Irrigation_InGround_Back_Automatic,StandardizedSeasonalresidualbyfamily,0.34,0.115,Yes,0,1063
Q5no,survey_indoor_sqft,-0.339,0.115,Yes,0,4984
survey_landscape_pct,survey_landscape_turf_pct,0.339,0.115,Yes,0,3953
survey_number_of_teenagers_summer,Showerminutesperday,0.337,0.114,Yes,0,1178
survey_irrigation_inground_drip,Survey_Irrigation_InGround_Back_Automatic,0.336,0.113,Yes,0,5574
survey_number_of_showers,survey_irrigation_inground,0.336,0.113,Yes,0,5574
survey_pool,Q13,0.336,0.113,Yes,0,5028
survey_year_built,survey_household_income,0.337,0.113,Yes,0,4392
survey_household_income,survey_age_of_home,-0.337,0.113,Yes,0,4392
survey_irrigation_inground_back,survey_indoor_sqft,0.335,0.112,Yes,0,4984
survey_number_of_showers,Q5no,-0.334,0.112,Yes,0,5574
survey_number_of_showers,survey_year_built,0.335,0.112,Yes,0,5330
survey_number_of_showers,survey_age_of_home,-0.335,0.112,Yes,0,5330
survey_irrigation,Q14,0.334,0.112,Yes,0,5414
Clotheswashergpd,Dishwashergpd,0.335,0.112,Yes,0,898
survey_number_of_whirlpools,survey_household_income,0.333,0.111,Yes,0,3129
survey_number_of_bathroom_sinks,Q23length,0.334,0.111,Yes,0,5527
survey_number_of_showers,Survey_Irrigation_InGround_Back_Automatic,0.334,0.111,Yes,0,5574
survey_irrigation_inground,survey_irrigation_pct,0.333,0.111,Yes,0,4769
survey_irrigation_inground_timer,NormalizedAnnual,0.333,0.111,Yes,0,5104
survey_parcel_sqft,TotalGPD,0.334,0.111,Yes,0,959
survey_number_of_adults_winter,Showerminutesperday,0.332,0.11,Yes,0,1178
survey_number_of_toilets,survey_parcel_sqft,0.331,0.11,Yes,0,4402
survey_evap_cooler,survey_canal_ditch,0.331,0.11,Yes,0,281
survey_irrigation_inground,survey_household_income,0.332,0.11,Yes,0,4564
survey_number_of_teenagers_summer,Showersperday,0.33,0.109,Yes,0,1178
survey_number_of_toilets,Q5year,0.33,0.109,Yes,0,5566
survey_number_of_bathroom_sinks,survey_pool,0.33,0.109,Yes,0,5131
survey_number_of_bathroom_sinks,NormalizedSeasonal,0.33,0.109,Yes,0,1051
survey_number_of_showers,Survey_Irrigation_InGround_Front_Automatic,0.33,0.109,Yes,0,5574
survey_disposal,Survey_Irrigation_InGround_Front_Automatic,0.33,0.109,Yes,0,5467
Survey_Irrigation_InGround_Front_Automatic,survey_year_built,0.33,0.109,Yes,0,5330
Survey_Irrigation_InGround_Front_Automatic,survey_age_of_home,-0.33,0.109,Yes,0,5330
survey_number_of_teenagers,Showerminutesperday,0.329,0.109,Yes,0,1178
survey_number_of_bathroom_sinks,survey_disposal,0.329,0.108,Yes,0,5425
survey_disposal,Survey_Irrigation_InGround_Back_Automatic,0.329,0.108,Yes,0,5467
Survey_Irrigation_InGround_Front_Automatic,StandardizedAnnualresidualbyfamily,0.328,0.108,Yes,0,5075
survey_home_value,StandardizedSeasonalresidualbyfamily,0.329,0.108,Yes,0,905
survey_irrigation_inground_front,survey_home_value,0.327,0.107,Yes,0,4735
survey_irrigation_inground_back,survey_household_income,0.327,0.107,Yes,0,4564
survey_clothes_washer,Q4year,0.327,0.107,Yes,0,5548
survey_irrigation_inground,NormalizedSeasonal,0.326,0.107,Yes,0,1063
Survey_Irrigation_InGround_Back_Automatic,NormalizedAnnual,0.328,0.107,Yes,0,5104
survey_irrigation_inground_back,survey_number_of_showers,0.326,0.106,Yes,0,5574
survey_number_of_teenagers_winter,Showergpd,0.325,0.106,Yes,0,1178
irrigated_area_sqft,survey_home_value,0.326,0.106,Yes,0,962
Q23width,TotalGPD,0.326,0.106,Yes,0,1187
survey_year_built,survey_monthly_rent,0.326,0.106,Yes,0,446
survey_monthly_rent,survey_age_of_home,-0.326,0.106,Yes,0,446
survey_irrigation_inground_front,survey_number_of_toilets,0.324,0.105,Yes,0,5566
survey_irrigation_inground_drip,survey_irrigation_inground_timer,0.324,0.105,Yes,0,5574
survey_irrigation_inground_timer_adjusted_conservation,survey_number_of_bathroom_sinks,0.324,0.105,Yes,0,5527
survey_irrigation_inground_timer_adjusted_conservation,Q13,0.324,0.105,Yes,0,5422
survey_number_of_toilets,StandardizedAnnualresidualbyfamily,0.324,0.105,Yes,0,5069
survey_number_of_bathroom_sinks,StandardizedAnnualresidualbyfamily,0.324,0.105,Yes,0,5032
survey_dishwasher,survey_household_income,0.324,0.105,Yes,0,4466
survey_irrigation_inground_timer_adjusted_conservation,survey_monthly_rent,0.323,0.104,Yes,0,546
survey_number_of_bathtub_showers,survey_monthly_rent,0.323,0.104,Yes,0,531
survey_parcel_sqft,OutdoorGPD,0.323,0.104,Yes,0,928
survey_number_of_teenagers,Showersperday,0.323,0.104,Yes,0,1178
survey_indoor_sqft,OutdoorGPD,0.323,0.104,Yes,0,1040
survey_irrigation_inground_back,NormalizedSeasonal,0.321,0.103,Yes,0,1063
Dishwashergpd,Clotheswasherloadsperday,0.322,0.103,Yes,0,898
Showergpd,Averageshowerseconds,0.321,0.103,Yes,0,1178
Averageshowergal,Showerminutesperday,0.321,0.103,Yes,0,1178
Showerminutesperday,NormalizedAnnual,0.32,0.103,Yes,0,1178
survey_irrigation_inground_drip,Q13,0.32,0.102,Yes,0,5422
survey_number_of_bathroom_sinks,Q14,0.319,0.102,Yes,0,5369
Survey_Irrigation_InGround_Front_Automatic,NormalizedSeasonal,0.319,0.102,Yes,0,1063
survey_indoor_sqft,StandardizedSeasonalresidualbyfamily,0.32,0.102,Yes,0,967
survey_disposal_used_less,survey_dishwasher_used_less,0.317,0.101,Yes,0,5574
survey_irrigation_inground_timer_adjusted_conservation,Q14,0.318,0.101,Yes,0,5414
survey_number_of_bathtub_only,survey_number_of_bathroom_sinks,0.318,0.101,Yes,0,3638
Q5no,survey_household_income,-0.317,0.101,Yes,0,4564
Q5year,survey_indoor_sqft,0.317,0.101,Yes,0,4984
survey_number_of_toilets,NormalizedSeasonal,0.317,0.1,Yes,0,1060
survey_number_of_bathroom_sinks,survey_highest_grade,0.317,0.1,Yes,0,5313
survey_irrigation_inground,StandardizedAnnualresidualbyfamily,0.315,0.1,Yes,0,5075
survey_irrigation_inground,StandardizedSeasonalresidualbyfamily,0.316,0.1,Yes,0,1063
Survey_Irrigation_InGround_Front_Automatic,StandardizedSeasonalresidualbyfamily,0.316,0.1,Yes,0,1063
survey_household_income,NormalizedSeasonal,0.317,0.1,Yes,0,873
survey_irrigation_inground_front,survey_irrigation_pct,0.315,0.099,Yes,0,4769
survey_irrigation_inground_back,StandardizedAnnualresidualbyfamily,0.315,0.099,Yes,0,5075
survey_number_of_teenagers_winter,Showerminutesperday,0.315,0.099,Yes,0,1178
survey_number_of_whirlpools,TotalGPD,0.314,0.099,Yes,0,805
Survey_Irrigation_InGround_Front_Automatic,NormalizedAnnual,0.314,0.099,Yes,0,5104
irrigated_area_sqft,TotalGPD,0.314,0.099,Yes,0,1129
survey_number_of_adults,NormalizedAnnual,0.315,0.099,Yes,0,5075
survey_household_income,TotalGPD,0.315,0.099,Yes,0,971
survey_household_income,StandardizedAnnualresidualbyfamily,0.315,0.099,Yes,0,4185
survey_number_of_adults_summer,NormalizedAnnual,0.314,0.098,Yes,0,5060
survey_disposal,Q14,0.314,0.098,Yes,0,5315
survey_highest_grade,survey_indoor_sqft,0.313,0.098,Yes,0,4841
Q23length,survey_home_value,0.313,0.098,Yes,0,4735
KEYCODE,survey_has_alternative_source,0.312,0.097,Yes,0,305
survey_irrigation_inground_front,survey_indoor_sqft,0.311,0.097,Yes,0,4984
survey_irrigation_inground_back,StandardizedSeasonalresidualbyfamily,0.311,0.097,Yes,0,1063
survey_dishwasher,survey_irrigation_inground,0.312,0.097,Yes,0,5438
survey_number_of_showers_lfsh,survey_home_value,0.311,0.097,Yes,0,4416
Averageshowerseconds,Averageshowermodeflowgpm,-0.312,0.097,Yes,0,1178
survey_number_of_teenagers_winter,Showersperday,0.309,0.096,Yes,0,1178
survey_number_of_shower_only,survey_monthly_rent,0.311,0.096,Yes,0,430
survey_number_of_bathroom_sinks,Q23width,0.311,0.096,Yes,0,5527
survey_pool,survey_household_income,0.31,0.096,Yes,0,4259
survey_other_sources,survey_rain_barrel,0.31,0.096,Yes,0,5347
Q14,survey_home_value,0.31,0.096,Yes,0,4624
TotalGPD,Othergpd,0.31,0.096,Yes,0,1099
survey_car_washed_less_often,survey_irrigation_less_often,0.309,0.095,Yes,0,5574
survey_irrigation_sensor_rain,survey_irrigation_sensor_soil,0.308,0.095,Yes,0,4847
survey_highest_grade,survey_home_value,0.308,0.095,Yes,0,4657
Q23length,survey_household_income,0.309,0.095,Yes,0,4564
survey_irrigation_inground_back,survey_dishwasher,0.307,0.094,Yes,0,5438
survey_irrigation_inground_back,survey_irrigation_pct,0.307,0.094,Yes,0,4769
survey_irrigation_inground_timer_adjusted_conservation,survey_home_value,0.307,0.094,Yes,0,4735
survey_number_of_whirlpools,OutdoorGPD,0.307,0.094,Yes,0,773
survey_number_of_showers,survey_disposal,0.307,0.094,Yes,0,5467
survey_irrigation,survey_irrigation_inground,0.306,0.094,Yes,0,5574
survey_irrigation_inground,NormalizedAnnual,0.307,0.094,Yes,0,5104
survey_irrigation_inground_front,survey_number_of_showers,0.306,0.093,Yes,0,5574
survey_irrigation_inground_back,NormalizedAnnual,0.305,0.093,Yes,0,5104
survey_number_of_adults_winter,NormalizedAnnual,0.305,0.093,Yes,0,5064
survey_number_of_bathtub_only,survey_indoor_sqft,0.305,0.093,Yes,0,3296
survey_number_of_bathroom_sinks,Q13,0.305,0.093,Yes,0,5377
survey_dishwasher,survey_year_built,0.306,0.093,Yes,0,5208
survey_dishwasher,survey_age_of_home,-0.306,0.093,Yes,0,5208
irrigated_area_sqft,OutdoorGPD,0.304,0.093,Yes,0,1091
Q14,Q20,0.305,0.093,Yes,0,5414
Q14,survey_household_income,0.305,0.093,Yes,0,4451
Q23width,OutdoorGPD,0.305,0.093,Yes,0,1146
survey_number_of_children_summer,Showerminutesperday,0.303,0.092,Yes,0,1178
survey_number_of_bathtub_showers,survey_indoor_sqft,0.303,0.092,Yes,0,4860
survey_number_of_shower_only,survey_household_income,0.303,0.092,Yes,0,3887
survey_number_of_bathroom_sinks,survey_floors,0.303,0.092,Yes,0,5461
survey_dishwasher,survey_irrigation_inground_timer,0.304,0.092,Yes,0,5438
survey_pool,survey_indoor_sqft,0.304,0.092,Yes,0,4644
survey_irrigation_inground,Q5no,-0.303,0.092,Yes,0,5574
Q14,survey_monthly_rent,0.304,0.092,Yes,0,522
survey_number_of_children,Showerminutesperday,0.303,0.092,Yes,0,1178
survey_irrigation_inground_back,Q5no,-0.301,0.091,Yes,0,5574
survey_number_of_toilets,survey_highest_grade,0.302,0.091,Yes,0,5350
survey_number_of_bathtubs,survey_irrigation_inground_timer,0.302,0.091,Yes,0,5574
survey_number_of_bathtubs,TotalGPD,0.302,0.091,Yes,0,1187
Q5no,survey_year_built,-0.302,0.091,Yes,0,5330
Q5no,survey_age_of_home,0.302,0.091,Yes,0,5330
Q5year,survey_year_built,0.302,0.091,Yes,0,5330
Q5year,survey_household_income,0.301,0.091,Yes,0,4564
Q5year,survey_age_of_home,-0.302,0.091,Yes,0,5330
survey_year_built,survey_indoor_sqft,0.301,0.091,Yes,0,4866
survey_indoor_sqft,survey_age_of_home,-0.301,0.091,Yes,0,4866
survey_irrigation_inground_front,survey_household_income,0.301,0.09,Yes,0,4564
survey_pool,TotalGPD,0.3,0.09,Yes,0,1100
Survey_Irrigation_InGround_Back_Automatic,TotalGPD,0.301,0.09,Yes,0,1187
survey_irrigation_inground_timer,survey_irrigation_pct,0.3,0.09,Yes,0,4769
survey_irrigation_inground_front,NormalizedSeasonal,0.298,0.089,Yes,0,1063
survey_number_of_children_winter,Showerminutesperday,0.298,0.089,Yes,0,1178
survey_irrigation_inground_timer,Q5no,-0.298,0.089,Yes,0,5574
survey_irrigation_inground_timer,TotalGPD,0.299,0.089,Yes,0,1187
survey_household_income,OutdoorGPD,0.298,0.089,Yes,0,937
survey_irrigation_inground_front,survey_irrigation,0.296,0.088,Yes,0,5574
survey_number_of_adults_winter,survey_monthly_rent,0.297,0.088,Yes,0,543
survey_highest_grade,survey_monthly_rent,0.296,0.088,Yes,0,532
Q14,NormalizedAnnual,0.297,0.088,Yes,0,4963
Q23length,survey_indoor_sqft,0.296,0.088,Yes,0,4984
survey_dishwasher_used_less,survey_disposal,0.296,0.087,Yes,0,5467
survey_number_of_toilets,survey_disposal,0.295,0.087,Yes,0,5462
survey_number_of_bathtubs,Survey_Irrigation_InGround_Back_Automatic,0.295,0.087,Yes,0,5574
survey_pool,survey_home_value,0.294,0.087,Yes,0,4408
survey_number_of_toilets_16,survey_home_value,0.295,0.087,Yes,0,4234
survey_number_of_bathtub_showers,survey_home_value,0.294,0.086,Yes,0,4605
survey_number_of_bathroom_sinks,StandardizedSeasonalresidualbyfamily,0.293,0.086,Yes,0,1051
survey_dishwasher,Survey_Irrigation_InGround_Back_Automatic,0.293,0.086,Yes,0,5438
survey_has_alternative_source,survey_parcel_sqft,-0.293,0.086,Yes,0,248
Survey_Irrigation_InGround_Back_Automatic,OutdoorGPD,0.293,0.086,Yes,0,1146
survey_number_of_adults,survey_monthly_rent,0.293,0.086,Yes,0,543
Dishwashergpd,Showergpd,0.293,0.086,Yes,0,905
Faucetgpd,StandardizedAnnualresidualbyfamily,0.293,0.086,Yes,0,1187
survey_number_of_children_summer,Showergpd,0.291,0.085,Yes,0,1178
survey_number_of_bathroom_sinks,Q23depth,0.291,0.085,Yes,0,5527
Survey_Irrigation_InGround_Front_Automatic,survey_irrigation_pct,0.291,0.085,Yes,0,4769
survey_irrigation_inground_timer,OutdoorGPD,0.292,0.085,Yes,0,1146
Q13,Q23length,0.292,0.085,Yes,0,5422
survey_number_of_children,Showergpd,0.291,0.085,Yes,0,1178
survey_irrigation_inground_front,StandardizedAnnualresidualbyfamily,0.29,0.084,Yes,0,5075
survey_dishwasher,Survey_Irrigation_InGround_Front_Automatic,0.29,0.084,Yes,0,5438
survey_pressure_regulator,survey_home_value,0.29,0.084,Yes,0,3945
survey_canal_ditch,survey_well,-0.289,0.084,Yes,0,305
Q13,Q23depth,0.291,0.084,Yes,0,5422
survey_homies,survey_year_moved_in,-0.29,0.084,Yes,0,5359
survey_year_built,survey_home_value,0.29,0.084,Yes,0,4648
survey_home_value,survey_age_of_home,-0.29,0.084,Yes,0,4648
Dishwashergpd,Toiletgpd,0.29,0.084,Yes,0,906
survey_irrigation_inground_front,StandardizedSeasonalresidualbyfamily,0.288,0.083,Yes,0,1063
survey_number_of_toilets,survey_number_of_toilets_16,0.288,0.083,Yes,0,4934
Survey_Irrigation_InGround_Back_Automatic,Q5no,-0.288,0.083,Yes,0,5574
Q23width,survey_home_value,0.288,0.083,Yes,0,4735
Dishwashergpd,Showerminutesperday,0.287,0.083,Yes,0,905
survey_irrigation_inground_drip,Survey_Irrigation_InGround_Front_Automatic,0.287,0.082,Yes,0,5574
survey_conservation_shower_short,survey_clothes_washer_used_less,0.287,0.082,Yes,0,5574
survey_dishwasher_used_less,survey_conservation,0.287,0.082,Yes,0,5318
survey_number_of_children_winter,Showergpd,0.286,0.082,Yes,0,1178
survey_number_of_showers,Q5year,0.286,0.082,Yes,0,5574
survey_irrigation_inground_front,NormalizedAnnual,0.285,0.081,Yes,0,5104
survey_number_of_bathtubs,Survey_Irrigation_InGround_Front_Automatic,0.285,0.081,Yes,0,5574
survey_number_of_showers,StandardizedAnnualresidualbyfamily,0.284,0.081,Yes,0,5075
Survey_Irrigation_InGround_Front_Automatic,Q5no,-0.285,0.081,Yes,0,5574
Survey_Irrigation_InGround_Back_Automatic,survey_irrigation_pct,0.285,0.081,Yes,0,4769
survey_number_of_children,Clotheswasherloadsperday,0.285,0.081,Yes,0,1160
survey_irrigation_inground_timer_adjusted_conservation,survey_household_income,0.282,0.08,Yes,0,4564
survey_number_of_children_winter,Clotheswasherloadsperday,0.283,0.08,Yes,0,1160
survey_number_of_children_summer,Clotheswasherloadsperday,0.282,0.08,Yes,0,1160
survey_number_of_children_summer,Showersperday,0.283,0.08,Yes,0,1178
survey_number_of_showers_lfsh,survey_indoor_sqft,0.283,0.08,Yes,0,4666
Q14,NormalizedSeasonal,0.282,0.08,Yes,0,1033
Q14,StandardizedAnnualresidualbyfamily,0.283,0.08,Yes,0,4936
Q23width,survey_household_income,0.282,0.08,Yes,0,4564
survey_parcel_sqft,NormalizedAnnual,0.282,0.08,Yes,0,4032
survey_number_of_children,Showersperday,0.282,0.08,Yes,0,1178
capita,survey_year_moved_in,0.282,0.08,Yes,0,5443
survey_household_income,StandardizedSeasonalresidualbyfamily,0.282,0.08,Yes,0,873
survey_irrigation_inground_front,survey_dishwasher,0.281,0.079,Yes,0,5438
survey_number_of_shower_only,survey_number_of_showers_lfsh,0.281,0.079,Yes,0,4384
survey_number_of_showers,Q23length,0.281,0.079,Yes,0,5574
Q13,survey_home_value,0.281,0.079,Yes,0,4626
survey_irrigation_inground_back,survey_year_built,0.279,0.078,Yes,0,5330
survey_irrigation_inground_back,survey_age_of_home,-0.279,0.078,Yes,0,5330
survey_irrigation_hose_sprinkler,Q13,-0.279,0.078,Yes,0,5422
survey_number_of_teenagers_winter,IndoorGPD,0.28,0.078,Yes,0,1187
survey_number_of_children_winter,survey_year_moved_in,0.279,0.078,Yes,0,5443
survey_number_of_adults_summer,survey_monthly_rent,0.279,0.078,Yes,0,541
survey_number_of_toilets,survey_number_of_kitchen_sinks,0.28,0.078,Yes,0,5542
survey_number_of_toilets,StandardizedSeasonalresidualbyfamily,0.279,0.078,Yes,0,1060
survey_number_of_bathtub_showers,TotalGPD,0.279,0.078,Yes,0,1141
survey_number_of_bathroom_sinks,survey_number_of_toilets_16,0.28,0.078,Yes,0,4900
survey_number_of_showers,survey_pool,0.28,0.078,Yes,0,5165
survey_pool,NormalizedAnnual,0.28,0.078,Yes,0,4712
survey_parcel_sqft,survey_household_income,0.28,0.078,Yes,0,3708
survey_number_of_teenagers,IndoorGPD,0.279,0.078,Yes,0,1187
survey_number_of_children,survey_year_moved_in,0.278,0.078,Yes,0,5443
survey_monthly_rent,Showergpd,0.278,0.078,Yes,0.003,115
Toiletgpd,StandardizedAnnualresidualbyfamily,0.279,0.078,Yes,0,1187
survey_irrigation_xeri,survey_irrigation_efficient_system_installed,0.278,0.077,Yes,0,5574
survey_irrigation_inground_timer_adjusted_conservation,survey_indoor_sqft,0.277,0.077,Yes,0,4984
survey_number_of_children_winter,IndoorGPD,0.278,0.077,Yes,0,1187
survey_number_of_children_winter,Showersperday,0.277,0.077,Yes,0,1178
survey_number_of_toilets,Q23length,0.277,0.077,Yes,0,5566
survey_number_of_showers,survey_parcel_sqft,0.278,0.077,Yes,0,4405
survey_clothes_washer_top,Q4year,0.277,0.077,Yes,0,5536
survey_dishwasher,survey_highest_grade,0.277,0.077,Yes,0,5240
Q13,Q23width,0.277,0.077,Yes,0,5422
Q14,survey_irrigation_pct,0.277,0.077,Yes,0,4733
survey_parcel_sqft,NormalizedSeasonal,0.278,0.077,Yes,0,862
Dishwashergpd,Showersperday,0.278,0.077,Yes,0,905
Faucetgpd,Othergpd,0.278,0.077,Yes,0,1099
survey_replaced_showerheads_LF,survey_toilet_inserts,0.275,0.076,Yes,0,5574
survey_clothes_washer_used_less,survey_conservation,0.276,0.076,Yes,0,5318
survey_number_of_utility_sinks,survey_home_value,0.275,0.076,Yes,0,3937
survey_number_of_bathtubs,OutdoorGPD,0.276,0.076,Yes,0,1146
survey_irrigation_inground,Q5year,0.275,0.076,Yes,0,5574
survey_household_pays,survey_renter,0.276,0.076,Yes,0,5457
Q23no,survey_household_income,-0.275,0.076,Yes,0,4564
Q23width,survey_indoor_sqft,0.275,0.076,Yes,0,4984
Q23depth,survey_household_income,0.275,0.076,Yes,0,4564
survey_irrigation_inground_front,Q5no,-0.274,0.075,Yes,0,5574
survey_irrigation_inground_back,survey_irrigation,0.275,0.075,Yes,0,5574
survey_number_of_children_summer,survey_year_moved_in,0.274,0.075,Yes,0,5443
survey_number_of_whirlpools,survey_number_of_showers,0.275,0.075,Yes,0,3786
survey_pool,OutdoorGPD,0.275,0.075,Yes,0,1062
survey_water_feature_outdoor,Q3,0.275,0.075,Yes,0,5259
survey_well,survey_rain_barrel,-0.275,0.075,Yes,0,305
survey_adults_employed,survey_household_income,0.273,0.075,Yes,0,4516
survey_replaced_showerheads_LF,survey_conservation,0.272,0.074,Yes,0,5318
survey_number_of_teenagers_summer,IndoorGPD,0.272,0.074,Yes,0,1187
survey_number_of_toilets,survey_number_of_bathtub_only,0.272,0.074,Yes,0,3649
survey_number_of_bathtubs,survey_number_of_showers_lfsh,0.272,0.074,Yes,0,5149
survey_treatment,Othergpd,0.273,0.074,Yes,0,1038
Survey_Irrigation_InGround_Front_Automatic,TotalGPD,0.271,0.074,Yes,0,1187
Q13,survey_year_built,0.272,0.074,Yes,0,5196
Q13,survey_age_of_home,-0.272,0.074,Yes,0,5196
KEYCODE,survey_treatment,0.27,0.073,Yes,0,5194
survey_irrigation_inground_front,survey_well,0.269,0.073,Yes,0,305
survey_irrigation_inground_back,TotalGPD,0.271,0.073,Yes,0,1187
survey_irrigation_inground_timer_adjusted_conservation,survey_number_of_toilets,0.271,0.073,Yes,0,5566
survey_number_of_showers,NormalizedSeasonal,0.27,0.073,Yes,0,1063
survey_humidifier,Q3,0.27,0.073,Yes,0,5259
survey_well,NormalizedSeasonal,-0.271,0.073,Yes,0.035,61
survey_irrigation_inground,TotalGPD,0.27,0.073,Yes,0,1187
survey_number_of_children,IndoorGPD,0.27,0.073,Yes,0,1187
TotalGPD,StandardizedNonseasonalresidualbyfamily,0.271,0.073,Yes,0,1187
Dishwashergpd,StandardizedNonseasonalresidualbyfamily,0.271,0.073,Yes,0,906
survey_irrigation_inground_back,Q5year,0.269,0.072,Yes,0,5574
survey_faucet_drips_repaired,survey_conservation,0.268,0.072,Yes,0,5318
survey_number_of_children_winter,Clotheswashergpd,0.269,0.072,Yes,0,1160
survey_number_of_toilets,survey_pool,0.268,0.072,Yes,0,5160
survey_number_of_showers,Q14,0.268,0.072,Yes,0,5414
survey_well,survey_irrigation_inground,0.268,0.072,Yes,0,305
survey_irrigation_inground,survey_year_built,0.268,0.072,Yes,0,5330
survey_irrigation_inground,survey_age_of_home,-0.268,0.072,Yes,0,5330
survey_irrigation_inground_timer,Q5year,0.269,0.072,Yes,0,5574
survey_highest_grade,Q5no,-0.269,0.072,Yes,0,5357
Q23length,NormalizedAnnual,0.269,0.072,Yes,0,5104
survey_number_of_children,Clotheswashergpd,0.267,0.072,Yes,0,1160
survey_number_of_bathtub_showers,survey_household_income,0.266,0.071,Yes,0,4440
Survey_Irrigation_InGround_Front_Automatic,OutdoorGPD,0.266,0.071,Yes,0,1146
Q13,survey_household_income,0.267,0.071,Yes,0,4459
Q23depth,survey_indoor_sqft,0.267,0.071,Yes,0,4984
survey_number_of_toilets,Q14,0.265,0.07,Yes,0,5407
survey_number_of_bathtub_showers,OutdoorGPD,0.264,0.07,Yes,0,1102
survey_dishwasher,survey_home_value,0.265,0.07,Yes,0,4640
survey_well,survey_floors,-0.265,0.07,Yes,0,304
survey_has_alternative_source,StandardizedSeasonalresidualbyfamily,0.265,0.07,Yes,0.039,61
survey_irrigation_inground,Q20,0.265,0.07,Yes,0,5574
survey_irrigation_inground_timer,Q20,0.264,0.07,Yes,0,5574
survey_floors,survey_home_value,0.264,0.07,Yes,0,4698
Q14,StandardizedSeasonalresidualbyfamily,0.265,0.07,Yes,0,1033
Q23depth,survey_home_value,0.264,0.07,Yes,0,4735
Q23depth,TotalGPD,0.265,0.07,Yes,0,1187
survey_irrigation_inground_back,OutdoorGPD,0.263,0.069,Yes,0,1146
survey_irrigation_inground_timer_adjusted_conservation,survey_number_of_showers,0.263,0.069,Yes,0,5574
survey_number_of_children_summer,Clotheswashergpd,0.262,0.069,Yes,0,1160
survey_number_of_bathtub_showers,survey_year_built,0.263,0.069,Yes,0,5175
survey_number_of_bathtub_showers,survey_age_of_home,-0.263,0.069,Yes,0,5175
survey_number_of_whirlpools,survey_year_built,0.263,0.069,Yes,0,3626
survey_number_of_whirlpools,survey_age_of_home,-0.263,0.069,Yes,0,3626
survey_number_of_utility_sinks,survey_indoor_sqft,0.262,0.069,Yes,0,4140
survey_number_of_showers,survey_number_of_toilets_16,0.262,0.069,Yes,0,4938
survey_number_of_showers_lfsh,survey_monthly_rent,0.263,0.069,Yes,0,489
survey_has_alternative_source,Averagetoiletflushvolume,-0.262,0.069,Yes,0.027,71
survey_irrigation_inground,OutdoorGPD,0.262,0.069,Yes,0,1146
Q13,Q23no,-0.263,0.069,Yes,0,5422
survey_monthly_rent,Showersperday,0.263,0.069,Yes,0.005,115
Leakgpd,NormalizedAnnual,0.263,0.069,Yes,0,1184
survey_dishwasher_used_less,survey_monthly_rent,0.261,0.068,Yes,0,546
survey_number_of_showers,Q23width,0.261,0.068,Yes,0,5574
survey_disposal,survey_indoor_sqft,0.261,0.068,Yes,0,4908
survey_pool,survey_parcel_sqft,0.261,0.068,Yes,0,4107
survey_well,StandardizedSeasonalresidualbyfamily,-0.262,0.068,Yes,0.042,61
survey_has_alternative_source,NormalizedSeasonal,0.261,0.068,Yes,0.042,61
